RT,PET_mz105_signal_1,PET_mz105_signal_2
13.00356667,16944.000,1954.000
13.00838333,17056.000,1854.000
13.0132,17088.000,1718.000
13.01801667,18096.000,2062.000
13.02283333,19504.000,1904.000
13.02765,20312.000,1685.000
13.03246667,22640.000,1773.000
13.03728333,25224.000,1878.000
13.0421,25160.000,1424.000
13.04691667,25112.000,1771.000
13.05173333,24936.000,1799.000
13.05655,24728.000,1504.000
13.06135,25112.000,1179.000
13.06616667,22328.000,1237.000
13.07098333,20568.000,1236.000
13.0758,19800.000,1066.000
13.08061667,19032.000,1293.000
13.08543333,17664.000,985.000
13.09025,18816.000,986.000
13.09506667,16760.000,1020.000
13.09988333,17352.000,836.000
13.1047,18664.000,788.000
13.10951667,18880.000,870.000
13.11433333,18776.000,861.000
13.11915,20224.000,851.000
13.12395,20584.000,762.000
13.12876667,18416.000,609.000
13.13358333,18632.000,746.000
13.1384,19048.000,658.000
13.14321667,17712.000,556.000
13.14803333,16030.000,767.000
13.15285,15478.000,805.000
13.15766667,13725.000,658.000
13.16248333,13890.000,698.000
13.1673,14515.000,751.000
13.17211667,12531.000,802.000
13.17693333,13118.000,846.000
13.18175,12160.000,716.000
13.18655,11934.000,898.000
13.19136667,12216.000,1282.000
13.19618333,12832.000,1128.000
13.201,13847.000,1175.000
13.20581667,13445.000,898.000
13.21063333,13703.000,1068.000
13.21545,13433.000,1170.000
13.22026667,15159.000,1646.000
13.22508333,15076.000,1979.000
13.2299,16007.000,2109.000
13.23471667,16464.000,2555.000
13.23953333,16672.000,3133.000
13.24435,18416.000,3754.000
13.24915,18528.000,3862.000
13.25396667,18328.000,4006.000
13.25878333,19816.000,3921.000
13.2636,22064.000,3958.000
13.26841667,24800.000,3459.000
13.27323333,27144.000,3664.000
13.27805,28368.000,4154.000
13.28286667,30800.000,4060.000
13.28768333,33888.000,4525.000
13.2925,36712.000,4910.000
13.29731667,35736.000,5724.000
13.30213333,33520.000,5938.000
13.30695,34016.000,6671.000
13.31175,31712.000,7132.000
13.31656667,28760.000,7579.000
13.32138333,26808.000,8251.000
13.3262,26120.000,8371.000
13.33101667,25128.000,8810.000
13.33583333,24328.000,8846.000
13.34065,23920.000,10264.000
13.34546667,23040.000,10139.000
13.35028333,24512.000,10641.000
13.3551,23536.000,10448.000
13.35991667,25272.000,10120.000
13.36473333,24696.000,10986.000
13.36955,25912.000,11278.000
13.37435,25304.000,10839.000
13.37916667,24264.000,10322.000
13.38398333,24472.000,10121.000
13.3888,22376.000,9887.000
13.39361667,23608.000,10470.000
13.39843333,23744.000,9759.000
13.40325,24208.000,9038.000
13.40806667,23416.000,9102.000
13.41288333,23872.000,8343.000
13.4177,23624.000,8438.000
13.42251667,24456.000,7748.000
13.42733333,22368.000,7737.000
13.43215,23096.000,7489.000
13.43695,23168.000,6634.000
13.44176667,23184.000,6900.000
13.44658333,21152.000,6562.000
13.4514,20048.000,5750.000
13.45621667,19312.000,5940.000
13.46103333,18848.000,5484.000
13.46585,18272.000,4501.000
13.47066667,17032.000,4667.000
13.47548333,17576.000,3869.000
13.4803,16440.000,3983.000
13.48511667,16172.000,3911.000
13.48993333,16872.000,3557.000
13.49475,15229.000,3645.000
13.49955,17128.000,3110.000
13.50436667,14498.000,3409.000
13.50918333,13951.000,3331.000
13.514,13760.000,3750.000
13.51881667,13141.000,3272.000
13.52363333,12196.000,3126.000
13.52845,12975.000,3295.000
13.53326667,11715.000,3007.000
13.53808333,11646.000,2836.000
13.5429,12523.000,3166.000
13.54771667,11712.000,2614.000
13.55253333,12727.000,2689.000
13.55733333,13904.000,2692.000
13.56215,12833.000,2760.000
13.56696667,14052.000,2447.000
13.57178333,15459.000,2741.000
13.5766,14880.000,2208.000
13.58141667,14525.000,2358.000
13.58623333,16168.000,2379.000
13.59105,16872.000,1798.000
13.59586667,16238.000,2120.000
13.60068333,15627.000,1786.000
13.6055,16154.000,2055.000
13.61031667,16040.000,1732.000
13.61513333,14734.000,1950.000
13.61993333,15062.000,1951.000
13.62475,14866.000,1345.000
13.62956667,14492.000,1753.000
13.63438333,13960.000,1932.000
13.6392,14360.000,1509.000
13.64401667,14148.000,1751.000
13.64883333,13388.000,2109.000
13.65365,13284.000,1858.000
13.65846667,13555.000,2193.000
13.66328333,13210.000,2318.000
13.6681,13932.000,2037.000
13.67291667,13735.000,2496.000
13.67773333,14294.000,2261.000
13.68253333,14863.000,2510.000
13.68735,15513.000,2001.000
13.69216667,16247.000,2149.000
13.69698333,17496.000,2207.000
13.7018,18056.000,2016.000
13.70661667,20032.000,2012.000
13.71143333,22152.000,1749.000
13.71625,24136.000,1744.000
13.72106667,24136.000,1666.000
13.72588333,25672.000,1667.000
13.7307,26240.000,1675.000
13.73551667,28248.000,1890.000
13.74033333,27296.000,1576.000
13.74513333,28496.000,1909.000
13.74995,27152.000,1770.000
13.75476667,27280.000,1704.000
13.75958333,26624.000,1586.000
13.7644,26016.000,1585.000
13.76921667,26064.000,1741.000
13.77403333,26472.000,1541.000
13.77885,24896.000,1570.000
13.78366667,26016.000,1497.000
13.78848333,27160.000,1946.000
13.7933,26376.000,3219.000
13.79811667,26000.000,6274.000
13.80293333,26320.000,13355.000
13.80773333,27072.000,25840.000
13.81255,28072.000,49040.000
13.81736667,27432.000,88800.000
13.82218333,27688.000,144512.000
13.827,26816.000,220352.000
13.83181667,27784.000,299904.000
13.83663333,27872.000,371392.000
13.84145,27504.000,427776.000
13.84626667,28584.000,465216.000
13.85108333,28512.000,458240.000
13.8559,31672.000,426496.000
13.86071667,30544.000,366592.000
13.86553333,30992.000,297664.000
13.87033333,33800.000,223936.000
13.87515,35984.000,156416.000
13.87996667,37792.000,108272.000
13.88478333,40944.000,70152.000
13.8896,44200.000,42528.000
13.89441667,45744.000,26264.000
13.89923333,50880.000,16146.000
13.90405,55504.000,10319.000
13.90886667,61440.000,7024.000
