RT,PP_mz111_signal_1,PP_mz111_signal_2
18.50273333,117664.000,48632.000
18.50755,128056.000,39312.000
18.51236667,140480.000,31856.000
18.51718333,147904.000,26152.000
18.522,158464.000,20712.000
18.52681667,171648.000,19168.000
18.53161667,183040.000,18032.000
18.53643333,196288.000,19592.000
18.54125,198208.000,25984.000
18.54606667,209152.000,39768.000
18.55088333,204736.000,62040.000
18.5557,198272.000,96360.000
18.56051667,189312.000,148608.000
18.56533333,177216.000,214848.000
18.57015,169408.000,291904.000
18.57496667,150592.000,383552.000
18.57978333,131712.000,484288.000
18.5846,115776.000,582272.000
18.58941667,100656.000,658688.000
18.59421667,91128.000,700800.000
18.59903333,85032.000,695040.000
18.60385,83872.000,631744.000
18.60866667,87352.000,488000.000
18.61348333,95008.000,336320.000
18.6183,106744.000,191616.000
18.62311667,119120.000,98024.000
18.62793333,138816.000,44200.000
18.63275,163648.000,19792.000
18.63756667,194944.000,9421.000
18.64238333,226944.000,5198.000
18.6472,267712.000,4371.000
18.65201667,311296.000,3712.000
18.65681667,371392.000,3500.000
18.66163333,410496.000,4026.000
18.66645,469312.000,3854.000
18.67126667,533440.000,4808.000
18.67608333,594880.000,5525.000
18.6809,675328.000,6748.000
18.68571667,746304.000,8722.000
18.69053333,776960.000,10507.000
18.69535,811584.000,13321.000
18.70016667,800832.000,14782.000
18.70498333,732800.000,17784.000
18.7098,570944.000,18688.000
18.71461667,400704.000,21368.000
18.71941667,248256.000,22296.000
18.72423333,157760.000,21120.000
18.72905,110936.000,20632.000
18.73386667,101560.000,18672.000
18.73868333,96792.000,16776.000
18.7435,100528.000,13617.000
18.74831667,97880.000,12510.000
18.75313333,103768.000,12192.000
18.75795,101272.000,11723.000
18.76276667,101824.000,13898.000
18.76758333,99672.000,20376.000
18.7724,99400.000,30312.000
18.77721667,97656.000,45696.000
18.78201667,92960.000,62040.000
18.78683333,89040.000,92176.000
18.79165,84144.000,121576.000
18.79646667,81712.000,144000.000
18.80128333,78952.000,174976.000
18.8061,75976.000,187712.000
18.81091667,71008.000,191424.000
18.81573333,70888.000,189376.000
18.82055,67032.000,182208.000
18.82536667,66568.000,166208.000
18.83018333,68088.000,138432.000
18.835,66120.000,108104.000
18.83981667,68456.000,78048.000
18.84461667,77776.000,54016.000
18.84943333,88224.000,33760.000
18.85425,104376.000,19704.000
18.85906667,126080.000,11132.000
18.86388333,160384.000,6584.000
18.8687,194304.000,4421.000
18.87351667,229376.000,3893.000
18.87833333,259456.000,3425.000
18.88315,267520.000,3302.000
18.88796667,274688.000,3181.000
18.89278333,260800.000,3822.000
18.8976,240576.000,4459.000
18.90241667,210240.000,5924.000
18.90721667,187776.000,8820.000
18.91203333,150528.000,12160.000
18.91685,131008.000,17832.000
18.92166667,108024.000,25016.000
18.92648333,98696.000,33424.000
18.9313,87840.000,41992.000
18.93611667,86864.000,49048.000
18.94093333,101992.000,54912.000
18.94575,122176.000,61704.000
18.95056667,129944.000,60832.000
18.95538333,136512.000,60440.000
18.9602,130008.000,56792.000
18.96501667,129368.000,50720.000
18.96981667,122888.000,40312.000
18.97463333,123672.000,33280.000
18.97945,128328.000,28760.000
18.98426667,133120.000,24128.000
18.98908333,136128.000,23160.000
18.9939,139456.000,30680.000
18.99871667,141952.000,44688.000
19.00353333,142528.000,69528.000
19.00835,144832.000,111648.000
19.01316667,139712.000,162368.000
19.01798333,139328.000,239808.000
19.0228,135552.000,311616.000
19.0276,135360.000,405888.000
19.03241667,140352.000,509696.000
19.03723333,143936.000,584064.000
19.04205,148160.000,617920.000
19.04686667,150016.000,617088.000
19.05168333,153536.000,558592.000
19.0565,159872.000,454784.000
19.06131667,161472.000,324736.000
19.06613333,165760.000,203264.000
19.07095,173504.000,111432.000
19.07576667,198208.000,57456.000
19.08058333,234304.000,24216.000
19.0854,282112.000,11790.000
19.0902,335232.000,6413.000
19.09501667,385344.000,4401.000
19.09983333,436928.000,3183.000
19.10465,453440.000,2733.000
19.10946667,453120.000,2889.000
19.11428333,419648.000,2437.000
19.1191,356416.000,2486.000
19.12391667,294016.000,2488.000
19.12873333,224448.000,2620.000
19.13355,178752.000,2667.000
19.13836667,142400.000,3129.000
19.14318333,128840.000,2550.000
19.148,122328.000,2722.000
19.1528,119456.000,2438.000
19.15761667,115600.000,2896.000
19.16243333,113416.000,2997.000
19.16725,108480.000,2610.000
19.17206667,103560.000,2127.000
19.17688333,100248.000,2437.000
19.1817,94944.000,2209.000
19.18651667,89752.000,2239.000
19.19133333,85272.000,2253.000
19.19615,80240.000,2046.000
19.20096667,74776.000,1853.000
19.20578333,73880.000,2211.000
19.2106,71192.000,2370.000
19.2154,70696.000,2178.000
19.22021667,71536.000,2138.000
19.22503333,76216.000,2500.000
19.22985,73896.000,2156.000
19.23466667,75272.000,2621.000
19.23948333,75416.000,2712.000
19.2443,78944.000,3440.000
19.24911667,77712.000,3580.000
19.25393333,77288.000,3833.000
19.25875,76376.000,3874.000
19.26356667,74568.000,4149.000
19.26838333,74344.000,3375.000
19.2732,71200.000,3639.000
19.278,73464.000,3592.000
19.28281667,70768.000,3166.000
19.28763333,68960.000,3093.000
19.29245,67344.000,3197.000
19.29726667,67032.000,2940.000
19.30208333,67944.000,2553.000
