date,file,mass_ug,rt,area,r2,good_fit,fit_flag,peak_search,51_rt,51_raw_int,51_fit_int
20250717,20250717_SB_TED_SBR_100.csv,100.0,19.914806,18928.276037,0.986593,True,ok,primary,"[19.873333, 19.875, 19.876667, 19.878333, 19.88, 19.881667, 19.883333, 19.885, 19.886667, 19.888333, 19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667]","[41663.0, 46778.0, 53264.0, 64709.0, 79319.0, 82589.0, 81610.0, 100634.0, 127068.0, 143055.0, 166330.0, 198050.0, 209645.0, 208146.0, 230245.0, 285135.0, 335935.0, 355456.0, 367490.0, 391461.0, 401844.0, 429874.0, 479466.0, 484344.0, 487652.0, 509213.0, 501042.0, 479540.0, 429319.0, 367029.0, 378972.0, 404191.0, 388400.0, 362967.0, 329053.0, 304466.0, 273237.0, 228549.0, 194106.0, 166732.0, 146156.0, 129954.0, 113324.0, 95559.0, 73965.0, 56525.0, 46888.0, 37063.0, 27935.0, 22151.0, 17439.0]","[32215.283232, 37401.002558, 43803.757974, 51609.414837, 61004.542118, 72167.813796, 85259.656303, 100410.426383, 117707.592631, 137182.58397, 158798.13993, 182437.129291, 207893.873541, 234869.000822, 262968.751032, 291709.448259, 320527.557816, 348795.367871, 375841.907309, 400978.267927, 423526.082409, 442847.562959, 458375.268646, 469639.67358, 476292.671062, 478125.373138, 475078.935937, 467247.6281, 454873.919092, 438335.94441, 418128.251749, 394837.195619, 369112.686988, 341638.192006, 313100.899183, 284163.843512, 255441.51062, 227480.07736, 200743.01851, 175602.365638, 152335.484751, 131126.878274, 112074.238884, 95197.801291, 80451.955789, 67738.09677, 56917.765524, 47825.289558, 40279.298449, 34092.687604, 29080.787507]"
20250718,20250718_SB_TED_SBR_150.csv,150.0,19.925695,34258.563355,0.993345,True,ok,primary,"[19.883333, 19.885, 19.886667, 19.888333, 19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96, 19.961667, 19.963333, 19.965, 19.966667]","[74472.0, 83431.0, 95949.0, 112952.0, 127788.0, 139882.0, 159680.0, 184591.0, 208962.0, 244372.0, 291930.0, 333199.0, 355437.0, 378994.0, 430866.0, 498546.0, 553644.0, 586103.0, 608340.0, 649144.0, 716960.0, 786272.0, 828516.0, 843808.0, 854348.0, 870576.0, 866848.0, 828941.0, 793060.0, 778850.0, 750391.0, 723724.0, 727686.0, 669202.0, 600125.0, 577674.0, 536406.0, 454722.0, 367380.0, 318976.0, 287812.0, 254133.0, 219495.0, 175472.0, 132746.0, 104071.0, 86170.0, 73532.0, 60101.0, 45562.0, 34699.0]","[54082.090018, 62793.996014, 73554.208631, 86680.930653, 102496.717652, 121314.806876, 143422.456116, 169061.680168, 198408.073766, 231548.720531, 268460.478445, 308990.169904, 352838.353864, 399548.386847, 448502.363958, 498925.257199, 549898.138123, 600380.804254, 649243.460114, 695306.386404, 737385.827961, 774343.711415, 805138.333056, 828872.892665, 844838.728582, 852550.349006, 851769.844022, 842518.965709, 825078.020521, 799971.652623, 767942.524232, 729914.735114, 686949.494319, 640196.00701, 590840.735623, 540058.131714, 488965.632591, 438585.21734, 389813.178491, 343399.055605, 299933.963676, 259847.894254, 223415.020385, 190765.631352, 161903.076083, 136724.003777, 115040.241618, 96600.815831, 81112.871287, 68260.541259, 57721.130004]"
20250718,20250718_SB_TED_SBR_50.csv,50.0,20.939387,5330.802786,0.961348,False,area,shifted,"[20.891667, 20.893333, 20.895, 20.896667, 20.898333, 20.9, 20.901667, 20.903333, 20.905, 20.906667, 20.908333, 20.91, 20.911667, 20.913333, 20.915, 20.916667, 20.918333, 20.92, 20.921667, 20.923333, 20.925, 20.926667, 20.928333, 20.93, 20.931667, 20.933333, 20.935, 20.936667, 20.938333, 20.94, 20.941667, 20.943333, 20.945, 20.946667, 20.948333, 20.95, 20.951667, 20.953333, 20.955, 20.956667, 20.958333, 20.96, 20.961667, 20.963333, 20.965, 20.966667, 20.968333, 20.97, 20.971667, 20.973333, 20.975]","[17860.0, 18911.0, 21442.0, 24128.0, 26607.0, 30573.0, 34023.0, 31229.0, 32164.0, 41573.0, 41935.0, 37544.0, 42901.0, 56930.0, 60386.0, 56698.0, 77239.0, 91200.0, 88000.0, 92900.0, 97167.0, 104580.0, 112628.0, 134444.0, 163935.0, 174738.0, 171224.0, 163130.0, 158546.0, 147261.0, 141932.0, 161962.0, 155162.0, 120287.0, 119317.0, 126500.0, 119452.0, 118332.0, 116657.0, 108944.0, 90280.0, 72757.0, 70868.0, 67005.0, 57737.0, 44400.0, 33842.0, 28185.0, 29338.0, 30532.0, 25599.0]","[21397.434922, 21804.515271, 22354.256656, 23085.260455, 24042.926547, 25279.410944, 26853.103003, 28827.498575, 31269.361299, 34246.096891, 37822.316471, 42055.633857, 46991.825566, 52659.574872, 59065.114124, 66187.161762, 73972.609927, 82333.443439, 91145.351331, 100248.421881, 109450.190437, 118531.141719, 127252.56697, 135366.459231, 142626.919622, 148802.367669, 153687.722246, 157115.664761, 158966.123682, 159173.231067, 157729.1891, 154684.730124, 150146.132336, 144269.035924, 137249.561416, 129313.436753, 120703.972487, 111669.774467, 102453.049551, 93279.250814, 84348.640989, 75830.148154, 67857.670134, 60528.776577, 53905.579719, 48017.410188, 42864.850214, 38424.643967, 34655.018747, 31501.002101, 28899.397393]"
20250721,20250721_SB_TED_SBR_200.csv,200.0,19.960347,33821.329795,0.942597,True,ok,primary,"[19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96, 19.961667, 19.963333, 19.965, 19.966667, 19.968333, 19.97, 19.971667, 19.973333, 19.975, 19.976667, 19.978333, 19.98, 19.981667, 19.983333, 19.985, 19.986667, 19.988333, 19.99, 19.991667, 19.993333, 19.995, 19.996667, 19.998333, 20.0, 20.001667]","[86509.0, 100392.0, 111013.0, 115503.0, 140621.0, 186800.0, 196972.0, 168767.0, 204925.0, 252994.0, 240124.0, 263528.0, 336797.0, 458284.0, 587237.0, 601339.0, 566912.0, 559391.0, 634136.0, 755754.0, 743067.0, 701647.0, 765468.0, 886395.0, 1057881.0, 1204467.0, 1170887.0, 934730.0, 744738.0, 770917.0, 930255.0, 865496.0, 649415.0, 654092.0, 652287.0, 571688.0, 531267.0, 417960.0, 350759.0, 337260.0, 246656.0, 168458.0, 148116.0, 115080.0, 90877.0, 84277.0, 64388.0, 44798.0, 35171.0, 34554.0, 28389.0]","[63880.425275, 69531.572795, 76965.793366, 86592.736634, 98866.285707, 114272.624313, 133311.997689, 156473.750045, 184204.776843, 216872.237708, 254722.188485, 297836.633469, 346092.271104, 399124.79318, 456302.882046, 516715.932245, 579178.936964, 642256.912356, 704309.734347, 763556.44956, 818156.170883, 866300.796786, 906313.234861, 936743.779637, 956456.958054, 964701.60011, 961158.108458, 945958.780312, 919679.380277, 883302.712428, 838157.404595, 785837.219618, 728107.719489, 666807.880778, 603754.24274, 540654.411795, 479035.383278, 420190.3721, 365145.898006, 314648.976276, 269172.617494, 228936.583199, 193939.556052, 163998.575485, 138791.717331, 117900.470464, 100848.972994, 87138.097099, 76273.207422, 67785.176657, 61244.86457]"
20250722,20250722_SB_TED_SBR_50.csv,50.0,19.937516,6260.510529,0.995659,False,area,primary,"[19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96, 19.961667, 19.963333, 19.965, 19.966667, 19.968333, 19.97, 19.971667, 19.973333, 19.975, 19.976667, 19.978333, 19.98, 19.981667]","[16276.0, 17977.0, 20567.0, 24148.0, 27821.0, 31460.0, 36277.0, 42588.0, 46761.0, 51468.0, 61332.0, 70093.0, 76136.0, 84050.0, 93877.0, 104082.0, 117112.0, 126335.0, 128258.0, 136234.0, 142205.0, 147292.0, 147996.0, 141600.0, 147400.0, 148661.0, 138200.0, 139461.0, 139381.0, 125429.0, 120636.0, 121450.0, 111242.0, 98967.0, 91204.0, 82388.0, 72154.0, 62840.0, 52367.0, 41341.0, 33644.0, 31212.0, 28495.0, 23373.0, 18300.0, 14383.0, 12056.0, 10345.0, 8356.0, 6239.0, 4663.0]","[11664.899902, 14171.322729, 17158.104935, 20674.984918, 24766.134929, 29467.00778, 34800.955168, 40775.784486, 47380.460237, 54582.185937, 62324.11808, 70523.961155, 79073.669071, 87840.432322, 96669.062802, 105385.802562, 113803.484436, 121727.86896, 128964.882112, 135328.391495, 140648.09367, 144777.049842, 147598.406018, 149030.869245, 149032.581857, 147603.136114, 144783.593889, 140654.510086, 135332.092574, 128962.754069, 121716.412313, 113778.96593, 105344.409458, 96607.050744, 87754.258984, 78960.107285, 70380.187065, 62147.771907, 54371.404906, 47133.885051, 40492.542249, 34480.622758, 29109.560379, 24371.884643, 20244.514314, 16692.199836, 13670.907947, 11130.980753, 9019.945527, 7284.895979, 5874.407152]"
20250722,20250722_SB_TED_SBR_75.csv,75.0,19.931816,11002.764527,0.993659,False,area,primary,"[19.888333, 19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96, 19.961667, 19.963333, 19.965, 19.966667, 19.968333, 19.97, 19.971667]","[18093.0, 20824.0, 24156.0, 28439.0, 33745.0, 38969.0, 44319.0, 50514.0, 59203.0, 70087.0, 79991.0, 90973.0, 102794.0, 114076.0, 126517.0, 143704.0, 169410.0, 190127.0, 204370.0, 219220.0, 221120.0, 212564.0, 227359.0, 258490.0, 276252.0, 281504.0, 278581.0, 273997.0, 266805.0, 260570.0, 260448.0, 251158.0, 230298.0, 209082.0, 198784.0, 188581.0, 168303.0, 154488.0, 139733.0, 119648.0, 102186.0, 85985.0, 73896.0, 64644.0, 54781.0, 44472.0, 33880.0, 25138.0, 19602.0, 16699.0, 14020.0]","[14589.881032, 16981.731659, 19963.867649, 23636.114747, 28102.285491, 33466.463766, 39828.279488, 47277.235427, 55886.239786, 65704.598369, 76750.821048, 89005.688504, 102406.09572, 116840.227082, 132144.614279, 148103.575263, 164451.427379, 180877.712642, 197035.475956, 212552.411545, 227044.45736, 240131.193309, 251452.209422, 260683.475471, 267552.681102, 271852.535599, 273451.121665, 272298.581784, 268429.664305, 261961.947854, 253089.870651, 242074.987762, 229233.137337, 214919.393928, 199511.807072, 183394.95877, 166944.325222, 150512.305488, 134416.598379, 118931.389498, 104281.57525, 90640.021842, 78127.65391, 66816.003944, 56731.73925, 47862.620999, 40164.337786, 33567.687691, 27985.648335, 23319.962861, 19466.969666]"
20250724,20250724_SB_TED_SBR_20.csv,20.0,19.916655,4901.712198,0.995304,True,ok,primary,"[19.875, 19.876667, 19.878333, 19.88, 19.881667, 19.883333, 19.885, 19.886667, 19.888333, 19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333]","[9892.0, 11232.0, 12514.0, 14544.0, 17722.0, 20362.0, 22570.0, 25751.0, 31509.0, 39142.0, 44463.0, 46908.0, 51216.0, 57698.0, 63773.0, 71477.0, 81301.0, 89596.0, 94501.0, 96432.0, 102575.0, 112490.0, 117416.0, 118170.0, 121972.0, 126413.0, 125474.0, 122164.0, 114588.0, 107272.0, 108060.0, 106904.0, 100285.0, 92209.0, 82456.0, 74434.0, 66820.0, 58309.0, 50789.0, 44396.0, 37802.0, 31816.0, 26584.0, 21306.0, 16832.0, 13932.0, 11468.0, 9618.0, 7790.0, 5764.0, 4496.0]","[7338.555576, 8660.953724, 10293.839626, 12284.819183, 14681.782266, 17530.733787, 20873.175508, 24743.108164, 29163.771217, 34144.285774, 39676.410186, 45731.652012, 52258.998984, 59183.530467, 66406.146075, 73804.59822, 81235.94134, 88540.416362, 95546.68114, 102078.185159, 107960.380192, 113028.368736, 117134.529138, 120155.628349, 121998.945253, 122606.980331, 121960.417987, 120079.128577, 117021.13765, 112879.636975, 107778.252171, 101864.902181, 95304.675794, 88272.202797, 80944.00863, 73491.313023, 66073.669627, 58833.753575, 51893.497063, 45351.660639, 39282.820187, 33737.655649, 28744.35384, 24310.888138, 20427.913407, 17072.013646, 14209.059061, 11797.463637, 9791.178313, 8142.30317, 6803.249685]"
20250742,20250742_SB_TED_SBR_150_2.csv,150.0,19.930202,32763.344119,0.98466,True,ok,primary,"[19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96, 19.961667, 19.963333, 19.965, 19.966667, 19.968333, 19.97, 19.971667, 19.973333]","[87134.0, 98362.0, 112842.0, 138231.0, 160606.0, 182150.0, 212393.0, 237136.0, 253535.0, 274860.0, 307456.0, 355859.0, 389558.0, 410176.0, 457621.0, 515532.0, 560730.0, 600023.0, 640218.0, 670213.0, 683802.0, 699861.0, 715728.0, 754814.0, 808492.0, 820878.0, 810971.0, 786167.0, 745410.0, 697554.0, 686181.0, 695549.0, 658741.0, 576493.0, 492218.0, 435516.0, 388839.0, 336057.0, 282021.0, 233276.0, 196776.0, 163775.0, 138080.0, 113522.0, 84520.0, 63608.0, 50237.0, 40325.0, 31983.0, 24784.0, 19568.0]","[54889.580698, 66390.830025, 80242.965533, 96726.76127, 116104.731527, 138605.321796, 164405.301854, 193611.101697, 226240.072763, 262202.865517, 301288.263013, 343151.872748, 387310.034097, 433140.131889, 479888.214378, 526684.404877, 572566.092751, 616508.326319, 657460.25252, 694385.907825, 726307.214627, 752346.72583, 771767.525777, 784007.761213, 788707.545925, 785726.441554, 775150.329726, 757287.206235, 732652.184722, 701942.728722, 666005.773773, 625798.901176, 582348.042896, 536704.312436, 489902.468931, 442923.249997, 396661.388052, 351900.601456, 309296.278296, 269365.999488, 232487.526249, 198903.442564, 168731.321448, 141978.086519, 118557.166947, 98307.082159, 81010.222763, 66410.790717, 54231.097889, 44185.672058, 35992.860724]"
20250804,20250804_RJ_SBR_Standard_120ug.csv,120.0,19.917336,22529.598856,0.996336,True,ok,primary,"[19.876667, 19.878333, 19.88, 19.881667, 19.883333, 19.885, 19.886667, 19.888333, 19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96]","[48351.0, 58196.0, 66746.0, 71343.0, 77978.0, 95922.0, 117581.0, 134188.0, 153740.0, 177354.0, 199829.0, 219599.0, 243269.0, 275732.0, 325447.0, 372080.0, 405095.0, 449864.0, 498575.0, 529648.0, 537821.0, 547196.0, 567816.0, 574256.0, 600080.0, 631655.0, 612999.0, 576207.0, 561997.0, 553826.0, 533427.0, 493012.0, 434386.0, 393805.0, 359884.0, 311634.0, 273756.0, 243250.0, 216457.0, 192386.0, 162074.0, 133792.0, 113848.0, 99091.0, 79415.0, 60282.0, 47389.0, 36840.0, 29423.0, 24172.0, 18988.0]","[40359.846619, 46005.912699, 53146.170023, 62049.102354, 72993.242047, 86255.268676, 102094.833301, 120736.400533, 142348.753325, 167023.183396, 194751.755399, 225407.34008, 258727.311984, 294302.855299, 331575.681629, 369843.617264, 408275.968942, 445938.856133, 481829.860142, 514920.463727, 544203.931271, 568745.604552, 587732.149663, 600516.152471, 606652.657677, 605924.776625, 598356.308684, 584210.351943, 563974.016318, 538330.477735, 508120.609107, 474297.191778, 437875.178085, 399881.606456, 361308.56927, 323072.141977, 285979.470461, 250705.371992, 217778.929172, 187579.735992, 160342.764348, 136170.30901, 115049.163816, 96871.08104, 81454.647, 68566.932111, 57943.595871, 49306.498432, 42378.246101, 36893.442388, 32606.70404]"
20250804,20250804_RJ_SBR_Standard_125ug.csv,125.0,19.91844,34607.529181,0.991349,True,ok,primary,"[19.876667, 19.878333, 19.88, 19.881667, 19.883333, 19.885, 19.886667, 19.888333, 19.89, 19.891667, 19.893333, 19.895, 19.896667, 19.898333, 19.9, 19.901667, 19.903333, 19.905, 19.906667, 19.908333, 19.91, 19.911667, 19.913333, 19.915, 19.916667, 19.918333, 19.92, 19.921667, 19.923333, 19.925, 19.926667, 19.928333, 19.93, 19.931667, 19.933333, 19.935, 19.936667, 19.938333, 19.94, 19.941667, 19.943333, 19.945, 19.946667, 19.948333, 19.95, 19.951667, 19.953333, 19.955, 19.956667, 19.958333, 19.96]","[76514.0, 89135.0, 102525.0, 113106.0, 128508.0, 152928.0, 181752.0, 209417.0, 230803.0, 257618.0, 300893.0, 347580.0, 378653.0, 403535.0, 461714.0, 523636.0, 558618.0, 625205.0, 690735.0, 703845.0, 721191.0, 770684.0, 844444.0, 916330.0, 949800.0, 954307.0, 914042.0, 853050.0, 844607.0, 847532.0, 817612.0, 773901.0, 708014.0, 638434.0, 599973.0, 565904.0, 502311.0, 420986.0, 366287.0, 319866.0, 261330.0, 215743.0, 177612.0, 141076.0, 115650.0, 91949.0, 73040.0, 59626.0, 45858.0, 34109.0, 26772.0]","[57185.986116, 65357.277971, 75635.283716, 88390.384264, 104007.452603, 122870.575492, 145343.568475, 171746.604175, 202329.696503, 237244.241055, 276514.262584, 320009.412634, 367422.038299, 418250.752644, 471792.833621, 527147.434029, 583230.996157, 638805.455891, 692518.846426, 742956.852139, 788702.8196, 828402.815488, 860831.637001, 884955.318698, 899985.700059, 905423.040333, 901083.46736, 887109.157455, 863960.460222, 832390.576752, 793404.733957, 748206.941221, 698138.260135, 644610.991225, 589043.253344, 532798.116235, 477130.799584, 423146.558806, 371770.844261, 323732.257115, 279557.834424, 239579.362272, 203948.796616, 172660.495387, 145577.831963, 122461.844441, 102999.834359, 86832.209157, 73576.308838, 62846.416538, 54269.581927]"
